iter	Logloss
0	0.6047453749
1	0.5385598855
2	0.4885477426
3	0.4506880486
4	0.4201595929
5	0.3946788041
6	0.3768798827
7	0.3637160174
8	0.3544889907
9	0.3465584323
10	0.3400584904
11	0.3349664948
12	0.3309674232
13	0.3280063657
14	0.325404988
15	0.3231904239
16	0.3210693957
17	0.3195385053
18	0.318350585
19	0.3172767756
20	0.3165750027
21	0.3155594425
22	0.3147747626
23	0.3142758805
24	0.313398128
25	0.3128378637
26	0.3122409476
27	0.3119829471
28	0.3115747178
29	0.3112013436
30	0.3109833326
31	0.3106537635
32	0.3103515428
33	0.310041376
34	0.3097128925
35	0.3094003344
36	0.3091110567
37	0.3087167776
38	0.308442656
39	0.3081412483
40	0.3078702585
41	0.3074375547
42	0.3071709473
43	0.3068241002
44	0.3066406334
45	0.3064589167
46	0.3061898155
47	0.3059390236
48	0.3056612431
49	0.3056612372
50	0.3054343625
51	0.3049135917
52	0.3047461725
53	0.304508942
54	0.3044017391
55	0.3041424655
56	0.3038756962
57	0.3038000294
58	0.3036593478
59	0.3033680796
60	0.3031993056
61	0.3029688897
62	0.3029521303
63	0.3027153699
64	0.3024770796
65	0.3022836935
66	0.3021254179
67	0.301969378
68	0.3018466512
69	0.3016590427
70	0.3015214204
71	0.3012957467
72	0.3012486551
73	0.3011421394
74	0.3010570726
75	0.3009340515
76	0.3007299757
77	0.300642971
78	0.3003846761
79	0.3003275078
80	0.3001876964
81	0.300079705
82	0.2999110073
83	0.2998461284
84	0.2998096059
85	0.2995643377
86	0.2994597279
87	0.2992933426
88	0.2990744727
89	0.2988849955
90	0.2987516599
91	0.298569925
92	0.2984686177
93	0.2983833757
94	0.2983051893
95	0.2981060178
96	0.2979365217
97	0.297689059
98	0.2976421191
99	0.2975119582
100	0.2974292927
101	0.29735398
102	0.2973513686
103	0.297234131
104	0.2970438946
105	0.2969550602
106	0.2969461099
107	0.2967803556
108	0.2967762131
109	0.2966139204
110	0.2964381054
111	0.2962648447
112	0.2961975921
113	0.2961199367
114	0.2959728886
115	0.2957901307
116	0.2955379629
117	0.2955301235
118	0.2954114814
119	0.2952560922
120	0.2950658777
121	0.2948509811
122	0.2948493881
123	0.2946796183
124	0.2946310804
125	0.2945871311
126	0.2944885765
127	0.2943058643
128	0.2941999345
129	0.2940700688
130	0.2940414783
131	0.2938268892
132	0.293809022
133	0.2935676213
134	0.2933107406
135	0.293147858
136	0.2929129091
137	0.292659782
138	0.2924573182
139	0.2921929598
140	0.2919335207
141	0.2917156669
142	0.2916493929
143	0.2914304061
144	0.2911665739
145	0.2910060363
146	0.2907725353
147	0.2905774023
148	0.2904651554
149	0.2902499366
