iter	Passed	Remaining
0	68	10136
1	137	10145
2	216	10609
3	297	10850
4	369	10714
5	446	10710
6	510	10436
7	603	10707
8	681	10684
9	745	10439
10	809	10230
11	876	10076
12	956	10074
13	1024	9956
14	1098	9883
15	1171	9807
16	1245	9741
17	1334	9783
18	1468	10123
19	1535	9980
20	1605	9863
21	1669	9715
22	1734	9576
23	1802	9463
24	1870	9353
25	1935	9231
26	2001	9116
27	2035	8868
28	2102	8770
29	2170	8682
30	2233	8573
31	2296	8468
32	2361	8371
33	2450	8360
34	2514	8262
35	2592	8208
36	2667	8146
37	2734	8058
38	2800	7969
39	2874	7903
40	2940	7818
41	3007	7733
42	3074	7650
43	3187	7677
44	3267	7623
45	3334	7538
46	3398	7448
47	3472	7379
48	3543	7304
49	3593	7186
50	3657	7099
51	3721	7013
52	3785	6927
53	3856	6855
54	3925	6779
55	4020	6748
56	4087	6668
57	4172	6618
58	4244	6546
59	4320	6481
60	4385	6398
61	4464	6336
62	4489	6199
63	4569	6140
64	4635	6061
65	4703	5986
66	4777	5918
67	4844	5842
68	4919	5775
69	4984	5696
70	5048	5617
71	5112	5538
72	5175	5458
73	5257	5399
74	5322	5322
75	5392	5251
76	5459	5175
77	5540	5114
78	5613	5044
79	5676	4967
80	5739	4889
81	5821	4827
82	5887	4752
83	5955	4679
84	6019	4603
85	6086	4529
86	6150	4453
87	6243	4398
88	6314	4327
89	6380	4253
90	6448	4181
91	6519	4110
92	6598	4044
93	6673	3975
94	6750	3908
95	6836	3845
96	6909	3775
97	6980	3704
98	7043	3628
99	7121	3560
100	7187	3486
101	7252	3412
102	7295	3329
103	7359	3255
104	7423	3181
105	7489	3108
106	7552	3035
107	7621	2964
108	7687	2891
109	7751	2818
110	7820	2747
111	7883	2674
112	7948	2602
113	8025	2534
114	8097	2464
115	8173	2395
116	8248	2326
117	8311	2254
118	8385	2184
119	8448	2112
120	8513	2040
121	8585	1970
122	8648	1898
123	8724	1829
124	8792	1758
125	8855	1686
126	8919	1615
127	8987	1544
128	9051	1473
129	9123	1403
130	9188	1332
131	9253	1261
132	9317	1190
133	9396	1121
134	9476	1052
135	9545	982
136	9609	911
137	9688	842
138	9762	772
139	9827	701
140	9892	631
141	9955	560
142	10019	490
143	10095	420
144	10172	350
145	10254	280
146	10321	210
147	10388	140
148	10451	70
149	10513	0
