row,fabric,dress,,,,
8,100% silk,Short Sleeve Ikat Smock Dress,,,,
210, 100% cotton,Eyelet Babydoll Dress,,,,
438,100% viscose,Printed Danielle Dress,,,,
519,100% viscose,Melody Spirit Slip Dress,,,,
539,100% cotton,Karell Dress,,,,
557,"88% polyamide, 12% elastane",Elsie Dress,,,,
610,100% polyester,Tea Length Shirtdress,,,,
679,100% polyester,Cara Mini Dress,,,,
850,100% viscose,Harmony Midi Dress,,,,
886,96% cotton 4% linen,Gingham V-Neck Dress,,,,
931,"64% polyamide, 34% viscose, 2% elastane",Sophie Sheath,,,,
948,100% polyester,Sleeveless Tie Waist Polo Dress,,,,
1070,"99% polyamide, 1% elastane",Quill Dress,,,,
1117,100% polyester,Polka Dot Lucy Dress,,,,
1242,100% cotton,Bastia Dress,,,,
1262,100% cotton,Antonella Dress,,,,
1304,"60% acetate, 40% polyester",Alesi Dress,,,,
1314," 95% polyester, 5% spandex",Black Tie Neck Shift,,,,
1335," 39% viscose, 38% cotton, 18% acrylic, 3% polyamide",Adalad Dress,,,,
1517," 59% rayon, 35% polyester, 6% spandex",Mixed Media V-Neck Dress,,,,
1563,100% wool,Horse And Carriage Sweater Dress,,,,
1582,100% polyester,Fynlie Dress,,,,
1632,35% polyester 45% cotton 20% rayon,Striped Sleeveless Button Up Dress,,,,
1649,"95% polyester, 5% elastane",Moss Mini Dress,,,,
1908,"90% polyamide, 10% elastane",Red Floral Jodee Sheath,,,,
2140,"90% polyamide, 10% elastane",Rex Gown,,,,
2267,100% nylon,Sequin Skirt Gown,,,,
2277,"68% rayon, 27% nylon, 5% spandex",Sheer Sleeve Tie Sheath,,,,
2399,100% silk,Printed Sweater Dress,,,,
2463,"62% polyamide, 32% viscose, 6% elastane",Samoa Sheath,,,,
2466,100% polyester,Ada Gown,,,,
2488,100% silk,Floral Issa Dress,,,,
2500,"63% rayon, 37% nylon",Belted Pleated Dress,,,,
2505,100% polyester,Printed Harmon Dress,,,,
2711,"40% wool, 33% viscose, 27% nylon",Novelty Rib Knit Dress,,,,
2737,100% nylon,Lace Noella Dress,,,,
2829,100% polyester,Asymmetric One Shoulder Dress,,,,
2964,100% polyester,Printed Short Sleeve Wrap Dress,,,,
3015,"95% polyester, 5% spandex",Green Birdie Gown,,,,
3178,90% cotton 10% metallic,Adrianne Dress,,,,
3215,100% polyester,Harmon Dress,,,,
3293,90% polyester and 10% spandex,Boat Neck Sheath,,,,
3563,100% cotton,Jersey Drop Waist Dress,,,,
3602,86% linen 14% cotton,Amalie Mini Dress,,,,
3628,100% rayon,Lydia Mini Dress,,,,
3674,"60% rayon, 35% nylon, 5% spandex",Marilyn Gown,,,,
4164,"95% polyester, 5% spandex",Black Sequin Dress,,,,
4212,"98% polyester, 2% spandex",Floral Popover Gown,,,,
4307,"95% polyester, 5% spandex",Maroon Blouson Dress,,,,
4392,"92% polyester, 8% spandex",Metallic Nicki Dress,,,,
4423,100% polyester,Black Multi Floral Gown,,,,
4440,"95% Polyester, 5% Elastane",Black Sequin Joelle Dress,,,,
4520,"68% polyester, 26% rayon, 6% elastane",Biscuit Pink Hickory Dress,,,,
4619,100% nylon,Glitz Gown,,,,
4808,100% polyester,Printed Trapeze Maxi,,,,
4810,"98% polyester, 2% spandex",Lace Sleeve Shirtdress,,,,
4861,"62% polyamide, 32% viscose, 6% elastane",Manala Gown,,,,
4919,100% polyester,Button Front Noelle Dress,,,,
5075,100% nylon,Midnight Glamour Dress,,,,
5090,100% synthetic,Metallic Combo Gown,,,,
5119,"60% rayon, 35% nylon, 5% spandex",Phoebe High Low Dress,,,,
5249,100% nylon,Palais du Louvre Gown,,,,
5270,100% cotton,Gingham Violet Mini Dress,,,,
5385,100% silk ,Dancing Til Daylight Dress,,,,
5509,"63% rayon, 37% nylon",Knit Multi Pleat Dress,,,,
5590,"95% polyester, 5% spandex",Floral Whitney Dress,,,,
5631,100%  tulle,Gold Cleopatra Dress,,,,
5677,"88% rayon,  12% polyethylene",Metallic Wrap Dress,,,,
6033,"98% synthetic, 2% spandex",Ruby Illusion Sleeve Gown,,,,
6132,"92% polyester, 8% polyurethane",Burgundy Midnight Sheath,,,,
6400,"67% viscose, 27% nylon, 6% spandex",Keep Them Guessing Dress,,,,
6508,100% polyester,Mia Dress,,,,
6570,100% viscose,Narelle Dress,,,,
