dress,fabrics
painterly leo peyton dress,100 polyester
lalie dress,100 rayon
green printed maria dress,91 silk 9 spandex
marmande dress,70 cotton 29 nylon
green floral shift,100 cotton 
plaid puff sleeve shirt dress,52 linen 26 viscose 22 cotton
printed danielle dress,100 cotton
pleated knit dress,65 viscose 35 nylon 
bea floral dress,100 polyester
volume dress,70 viscose 26 polyester
randy dress,100 polyester 
stripe godet dress,72 viscose 28 polyester
noreen knit dress,83 viscose
floral overlay dress,75 polyester 25 nylon
sleeveless tweed dress,78 polyester 21 cotton
lazar cutout gown,62 acetate 35 nylon 3 polyester
gathered ring ruffle dress,97 cotton 3 elastane
maroon sweater dress,50 polyester 20 acrylic 20 nylon 5 wool 
pastel plisse dress,100 poleyster georgette
holly midi dress,100 silk
orange knit dress,55 polyester 20 acrylic 20 nylon 5 wool
pleated sweater dress,83 viscose
lana cutout gown,100 polyester
green knit dress,55 polyester 20 acrylic 20 nylon 5 wool
argyle sweater dress,50 polyester 20 acrylic 20 nylon 5 wool
paisley paradise mini dress,100 cotton
brae dress,92 nylon 8 spandex
collar wrap dress,46 acetate 45 viscose 9 nylon
lemon strapless dress,98 cotton 2 elastane
red jacquard colorblock dress,94 polyester 6 spandex
navy flutter sleeve dress,100 polyester
asymmetric lace sweater dress,50 polyester 20 acrylic 20 nylon 5 wool 
lurex ottoman dress,70 viscose 22 polyester
holly dress,58 polyester 15 linen
mija ribbed mini dress,90 wool 10 polyester
fitted off the shoulder dress,72 viscose 28 polyester
trophy knit dress,67 wool 18 nylon 15 rayon
lemon floral midi dress,100 polyester
millie button dress,61 polyester 35 viscose 4 elastane
red leopard clementine dress,100 silk
auden dress,100 tencel
marilyn high low dress,95 polyester 5 spandex
red floral maxi,100 nylon
coralie dress,85 polyester 15 spandex
boat neck sheath,90 polyester 10 spandex
camel multi sleeveless dress,63 wool 37 polyester
eyelet gingham dress,50 cotton 50 polyester
red and blue knit dress,83 viscose
metallic pointelle dress,46 viscose 45 polyester 
eva metal dress,87 wool 9 polyester
embroidered sleeve dress,98 polyester 2 spandex
aidy dress,77 cotton 21 polyester
pastel rakel dress,77 viscose 11  spandex
grey turtleneck dress,56 nylon 30 wool 10 spandex
purple tie dress,68 polyester 22 polyamide 10 elastomer
metallic high low gown,77 polyester
jada cocktail dress,77 polyester 16 viscose 7 elastane
metallic hem dress,48 cotton 48 modal 4 spandex
tozcan ruched dress,60 acrylic 25 cotton 5 viscose 4 polyester
laced georgette dress,100 viscose
pleated metallic dress,57 viscose 23 nylon 13 polyester
ivory addison dress,100 polyester
leopard grosgrain burnout dress,65 viscose 35 silk
sheer sleeve dress,100 nylon
spots dress,100 polyester lace
amethyst mikado gown,100 polyester
kensington dress,35 nylon 30 cotton
metallic pleated dress,57 viscose 23 nylon 13 polyester
fitted faux leather dress,45 polyester 26 cotton 4 elastane
black nova dress,83 viscose
leopard roawn dress,83 viscose
striped balloon dress,81 viscose 12 wool 7 cotton
lorita midi dress,47 cotton 47 tencel 5 spandex
pink rustikan dress,47 cotton 30 rayon 22 nylon
combo lace flounce dress,67 rayon 27 nylon 5 spandex
renza dress,65 rayon 35 nylon 35 spandex
floral ponte a-line dress,82  rayon 13 nylon 4 spandex
the max dress,70 cotton 30 nylon
rainbow pleated gown,75 polyester 25 metallic_fibers
marisol off shoulder dress,60 rayon 40 spandex
light blue miller dress,66 polyester 18 nylon 14 cotton
judith dress,56 cotton 25 nylon 17 rayon
shea knit dress,56 rayon 30 nylon
bronze sequin emery dress,92 polyester 8 spandex
tamara knit mini dress,54 cotton 36 polyester
mini holland dress,100 wool
taylor denim dress,98 cotton 2 spandex
abir dress,100 rayon 
iris high low dress,54 cotton 45 nylon
denim button front tank dress,98 cotton 2 spandex
the renee dress,100 polyester
lace paramour dress,75 polyester 24 nylon
the capulet dress,100 polyester
the callie gown,100 polyester
damsel dress,100 cotton
anissa wrap dress,95 polyester 5 spandex
desert palm tie front dress,84 cotton 15 silk
