Brand,Dress_Description,Retail_price,Rent_price,Number_of_reviews,cotton,nylon,cellulose,silk,spandex,tencel,rayon,linen,cashmere,wool,leather,polyester,metallic_fibers,Length,Sleeves,Neckline
tory burch,painted roses smocked dress,478,70,33,69,27,0,0,4,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
tanya taylor,printed claudia dress,495,68,97,98,0,0,0,0,0,0,0,0,0,0,2,0,maxi,sleeveless,scoop_neckline
warm,wax poetic garden dress,350,60,83,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,crew_neckline
farm rio,macaw mix maxi,250,36,142,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
peter som collective,chambray midi dress,395,33,59,55,0,0,0,0,0,45,0,0,0,0,0,0,maxi,short_sleeves,shirt_collar_neckline
veronica beard,amani dress,595,100,140,0,0,0,93,7,0,0,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
farm rio,blue banana midi dress,230,32,118,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,square_neckline
xírena,rumer dress,258,40,12,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,scoop_neckline
rebecca taylor,short sleeve ikat smock dress,395,37,81,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
hunter bell,poppy dress,385,30,54,0,0,0,0,0,0,47,53,0,0,0,0,0,midi,sleeveless,square_neckline
nicholas,smocked prairie dress,498,75,102,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
yumi kim,blue laurel maxi,238,30,67,0,0,0,0,0,0,45,0,0,0,0,0,0,maxi,sleeveless,square_neckline
misa los angeles,blue eloisa dress,304,40,140,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,short_sleeves,v_neckline
ba&sh,qyana dress,335,30,47,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
rixo,multi printed holly dress,277,30,79,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,scoop_neckline
alexis,auja dress,649,73,107,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,three_quarter_sleeves,v_neckline
misa los angeles,julez dress,343,35,44,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,crew_neckline
banjanan,iris dress,300,30,67,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,crew_neckline
rebecca taylor,navy ava dress,395,50,61,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,cap_sleeves,v_neckline
rixo,paisley brooke dress,388,30,30,80,0,0,20,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
see by chloe,janis patchwork maxi,475,45,14,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,v_neckline
josie,pink multi floral maxi,198,30,40,0,0,0,0,12,0,0,0,0,0,0,98,0,maxi,short_sleeves,square_neckline
delfi collective,pleated quinn dress,432,52,180,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,v_neckline
apiece apart,monterossa dress,395,37,86,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
ulla johnson,printed iliana dress,455,49,19,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,square_neckline
ramy brook,pink ella dress,425,55,37,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,sleeveless,v_neckline
veronica beard,cecelia dress,495,53,56,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
derek lam collective,poppy drawstring dress,300,30,87,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,cap_sleeves,v_neckline
warm,garden dress,625,61,19,0,0,0,100,0,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
diane von furstenberg,erica midi dress,398,33,15,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
figue,bria dress,595,90,47,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
rails,frida dress,218,35,21,0,0,0,0,0,0,30,0,0,0,0,0,0,midi,sleeveless,v_neckline
see by chloe,peonies dress,550,41,52,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,scoop_neckline
misa los angeles,trina maxi,392,33,30,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
