dress,details
stripe godet dress,"navy blue and pink knit (72% viscose, 28% polyester). hourglass. crew neck. short sleeves. pull-on. 34"" from shoulder to hemline. imported."
noreen knit dress,"purple multi-striped knit (83% viscose ). sheath. sleeveless. square neckline. center back zipper closure. 39"" from shoulder to hemline. imported."
blue floral mock neck dress,"blue printed chiffon (100% polyester). hourglass. sleeveless. high neckline. center back button closure. fully lined. 52"" from shoulder to hemline."
applesi tie dye dress,"black tie-dyed crepe (100% viscose). hourglass. cowl neckline. sleeveless. pull-on. 39"" from shoulder to hemline."
lemon strapless dress,lemon woven (98% cotton 2% elastane). hourglass. straight neckline. strapless. hidden back zipper with hook-and-eye closure. fully lined. 37
zoe sequin dress,"purple multi brush stroke sequins on mesh (92% polyester, 8% spandex). sheath. short sleeves. v-neckline. hidden back zipper closure. 34 "
embroidered sleeve dress,"navy crepe (98% polyester, 2% spandex). sheath. long sleeves. boat neckline. 39"" from shoulder to hemline. imported."
laced georgette dress,"black lace georgette (100% viscose). hourglass. short sleeve. crew neckline. center back zipper.  40"" from shoulder to hemline."
kensington dress,"red floral lace (35% nylon, 35% cotton). sheath with flared hemline. long sleeves. high neckline . ially lined. 38"
fitted faux leather dress,"black faux leather (45% polyester, 26% cotton, 25% polyester, 4% elastane). sheath. three quarter sleeves. scoop neckline. 40"" "
prudence strappy linen maxi,"purple linen (55% linen, 45% viscose).maxi. scoop neck. sleeveless. side zipper closure. 58"" from shoulder to hemline. imported."
yvonne one shoulder maxi,"white rayon blend (80% rayon, 20% nylon) hourglass. one-shoulder neckline. sleeveless. pull-on. 58"" from shoulder to hemline. imported."
brooke border smocked dress,"multicolored graphic chambray (100% cotton) hourglass. crew neck. long sleeves. back zipper closure. 50"" from shoulder to hemline. imported."
isabel polka dot dress,"black satin (100% silk)  hourglass. crew neck. long sleeves. back zipper closure. 51.5"" from shoulder to hemline. imported."
yolanda mini dress,"white floral (87% tencel, 13% nylon). hourglass. sweetheart neckline. short sleeves. back zipper closure. 33"" from shoulder to hemline. imported."
vida ruffled dress,"cobalt blue silk (100% silk). hourglass. mock neck. short sleeves. back zipper closure. 53"" from shoulder to hemline. imported."
coliseum maxi dress,"yellow linen (100% linen).  blouson. off-the-shoulder neckline. short sleeves. side zipper closure. 53"" from shoulder to hemline. imported."
bodhi dress,"green and blue cotton (100% cotton).  hourglass. square neckline. short sleeves. back zipper closure. 35"" from shoulder to hemline. imported."
skyler cutout dress,"white cotton blend (65% cotton, 35% polyester). maxi. crew neck. short sleeves. back button closure. 54"" from shoulder to hemline. imported."
jacqui b dress,"red and green printed silk (100% silk). sheath. mock neck. long sleeves. back zipper closure. 54"" from shoulder to hemline. imported."
jacy cutout dress,"floral printed rayon blend (62% rayon, 38% polyester). hourglass. sweetheart neckline. sleeveless. back zipper closure. 52.5"" from shoulder to hemline. imported."
green cutout midi dress,"green jersey (90% polyester, 10% elastane)  hourglass. crew neck. long sleeves. back zipper closure. 51.5"" from shoulder to hemline. imported."
stella satin dress,"red and pink satin (98% polyester, 2% spandex) hourglass. v-neck. long sleeves. tie waist. imported."
labella midi dress,"yellow linen blend (55% linen, 45% viscose). . hourglass. halter neck. sleeveless. back zipper closure. 41.5"" from shoulder to hemline. imported."
isa ruffle dress,"black floral printed cotton (65% rayon, 35% silk).  sheath. mock neck. long sleeves. back zipper closure. 46.5"" from shoulder to hemline."
utopian gingham slip dress,"neon pink gingham (100% cotton). slip. sweetheart neckline. sleeveless. front button closure. 45"" from shoulder to hemline. made in the usa of imported fabric."
valerie velvet back tie dress,"black floral velvet (80% rayon, 20% nylon)  hourglass. v-neck short sleeves. back zipper closure. 56"" from shoulder to hemline. imported."
zebra satin slip dress,"olive green printed chiffon (63% viscose, 37% polyester). cowl neck. sleeveless. pull-on. 52"" from shoulder to hemline. imported."
peter pan collar dress,"black jersey (100% polyester)hourglass. collared neckline. short sleeves. front button closure. 33.5"" from shoulder to hemline. imported."
enzo floral dress,yellow and floral print (100% cotton).hourglass. sweetheart neckline. sleeveless. back zipper closure. imported.
fleur midi dress,"magenta silk (85% silk, 15% metallic_fibers) sheath. mock neck. sleeveless. back zipper closure. 50.5"" from shoulder to hemline. imported."
floral bias slip dress,"white and purple satin (90% polyester, 10% viscose).. slip. v-neck. sleeveless. back zipper closure. 45"" from shoulder to hemline. made in the usa of imported fabric."
arden blouson sleeve dress,"blue floral silk (100% silk),  hourglass. scoop neckline. long sleeves. pull on. 47"" from shoulder to hemline. imported."
floral taxi dress,"black and white jacquard (100% polyester). shift. turtleneck. elbow-length sleeves. back zipper closure. 36"" from shoulder to hemline. imported."
khaki corset mini dress,"khaki green crepe (95% polyester, 5% elastane).  sheath. collared neckline. long sleeves. back zipper closure. 33"" from shoulder to hemline. imported."
faux leather maisie dress,"black faux leather (55% viscose, 45% polyurethane) empire. squareneck. short puff sleeves. back zipper closure. 34"" from shoulder to hemline. imported. "
kiah corset mini dress,"pink crepe (100% linen). hourglass. sweetheart neckline. short sleeves. back zipper closure. 33"" from shoulder to hemline. imported."
cutout mini dress,"pink cotton (100% cotton).  hourglass. collared neckline. short sleeves. 34"" from shoulder to hemline. imported."
faux leather zip dress,"black faux leather (100% polyester). hourglass. v-neck. cap sleeves. front zipper closure. side pockets. 34"" from shoulder to hemline. imported."
black faux leather trim shift,"black woven (68% rayon, 27% nylon, 5% spandex)  sheath. sleeveless. crew neckline. invisible back zipper closure. hook-and-eye closure. 35"" from shoulder to hemline. imported"
debbie dress,"blue satin (100% silk) sheath. crew neck. long sleeves. 34"" from shoulder to hemline. imported."
vixen faux leather dress,"brown snakeskin faux leather. base (100% polyester)  sheath. strapless. straight neckline.  47"" from"
everleigh dress,"blue-green silk (59% viscose, 41% rayon).  hourglass. halter neck. sleeveless. back zipper closure. 55.5"" from shoulder to hemline. imported."
bustier puff sleeve dress,"red cotton (95% cotton, 5% spandex). empire. sweetheart neckline. three-quarter sleeves. back zipper closure. 36.5 from shoulder to hemline. imported."
green open back maxi,"green cotton (55% modal, 45% viscose). maxi. v-neck. sleeveless. 58"" from shoulder to hemline. imported."
wesley dress,"white crepe de chine (51% viscose, 49% rayon) sheath. boat neckline. long sleeves. side zipper closure. 35.5"" from shoulder to hemline. imported."
